Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,INR,33,35,29,In-person,MySQL;Oracle;PostgreSQL,Java;Swift;C++,Colleague;Books / Physical media;Other online resources,133255.29
High School,35-44 years old,Tech Lead,10-99 employees,No,GBP,25,30,20,Hybrid,MongoDB;SQLite;PostgreSQL,JavaScript;Ruby,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,106100.56
Master's,35-44 years old,Tech Lead,1-9 employees,Yes,INR,47,50,42,Hybrid,SQLite;Oracle,Kotlin;JavaScript;C++;Java,Online Courses or Certification,169946.85
PhD,55+ years old,Student,"5,000 to 9,999 employees",No,USD,43,46,41,In-person,Oracle;PostgreSQL;MongoDB,C++,Online Courses or Certification;Other online resources,156441.45
Master's,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,INR,2,3,0,In-person,PostgreSQL;SQLite,Java;JavaScript,Colleague;Books / Physical media,54210.02
PhD,45-54 years old,Tech Lead,10-99 employees,No,USD,31,31,31,Hybrid,PostgreSQL,C#;C++;Swift;JavaScript,Online Courses or Certification;Other online resources,131702.24
High School,45-54 years old,Tech Lead,1-9 employees,No,INR,5,10,1,Hybrid,MongoDB,Java;Python;Go;Kotlin,Books / Physical media;Online Courses or Certification;Other online resources;Colleague,51220.59
PhD,18-24 years old,Tech Lead,1-9 employees,Yes,INR,20,20,19,In-person,PostgreSQL,Swift;Python,Online Courses or Certification;Colleague;Other online resources,107393.06
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,EUR,37,38,36,In-person,MongoDB;MySQL;SQLite,Ruby;Swift;C#;Kotlin,Other online resources;Books / Physical media;Online Courses or Certification;Colleague,150021.04
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,EUR,45,45,40,Remote,MySQL;MongoDB;SQLite,Kotlin;C++;C#,Colleague;Books / Physical media,163572.26
Master's,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,8,11,8,Hybrid,MySQL;SQLite;Oracle,Ruby,Online Courses or Certification;Other online resources;Books / Physical media,48738.41
High School,18-24 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,GBP,31,31,31,Hybrid,PostgreSQL,Java;JavaScript;Go,Colleague;Books / Physical media;Other online resources,113008.97
High School,18-24 years old,Student,"10,000+ employees",No,INR,32,34,27,Remote,MongoDB;SQLite;PostgreSQL,Java,Other online resources;Colleague,111257.23
Bachelor's,55+ years old,Mid-level Developer,500-999 employees,Yes,GBP,48,50,44,Remote,MySQL;PostgreSQL;Oracle,JavaScript;Go,Online Courses or Certification;Books / Physical media,144462.25
Bachelor's,25-34 years old,Tech Lead,"10,000+ employees",Yes,INR,45,46,41,Remote,MySQL;SQLite,C++;C#,Online Courses or Certification;Books / Physical media,167636.71
Master's,18-24 years old,Tech Lead,500-999 employees,Yes,USD,45,48,41,Remote,SQLite,C++;Go;Kotlin,Online Courses or Certification;Books / Physical media;Other online resources,169683.0
High School,35-44 years old,Student,"10,000+ employees",No,EUR,26,26,26,Hybrid,Oracle;MySQL;PostgreSQL,Kotlin;Go;Java,Books / Physical media;Colleague;Other online resources,94462.99
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,40,41,39,Remote,SQLite;Oracle;PostgreSQL,Kotlin,Colleague,147105.86
Bachelor's,18-24 years old,Mid-level Developer,1-9 employees,Yes,GBP,20,23,20,In-person,MongoDB;MySQL;PostgreSQL,Swift,Colleague;Online Courses or Certification;Other online resources,78674.03
PhD,55+ years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,20,22,16,Remote,SQLite,Java;Python,Other online resources;Books / Physical media,100955.49
Bachelor's,45-54 years old,Student,"10,000+ employees",No,USD,50,50,48,Remote,PostgreSQL;MySQL,Swift;Kotlin,Other online resources;Online Courses or Certification,153727.61
PhD,45-54 years old,Tech Lead,"1,000 to 4,999 employees",Yes,GBP,36,37,34,Remote,PostgreSQL;Oracle;MySQL,Ruby;Python;Kotlin,Books / Physical media;Online Courses or Certification,146171.56
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,GBP,9,11,5,Remote,MongoDB;PostgreSQL,JavaScript,Other online resources;Books / Physical media,72719.66
PhD,25-34 years old,Senior Developer,100-499 employees,Yes,INR,18,22,13,In-person,MongoDB;Oracle;SQLite,JavaScript;Ruby;C#;C++,Colleague,89922.88
PhD,35-44 years old,Tech Lead,1-9 employees,Yes,EUR,39,42,34,Remote,Oracle;SQLite,JavaScript;Swift;C#,Books / Physical media;Online Courses or Certification;Other online resources,157877.43
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,USD,45,49,45,Remote,MySQL;PostgreSQL,C++,Online Courses or Certification,170564.08
PhD,45-54 years old,Mid-level Developer,500-999 employees,No,EUR,24,25,24,Remote,SQLite,C++;Ruby;C#;Java,Other online resources;Colleague,99914.84
High School,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,EUR,38,38,37,In-person,MongoDB;Oracle;PostgreSQL,Ruby;Go;Swift,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,120187.72
PhD,45-54 years old,Tech Lead,500-999 employees,Yes,INR,32,36,27,Hybrid,SQLite,C++;Go;Ruby,Other online resources;Books / Physical media;Colleague,136424.48
Master's,35-44 years old,Student,10-99 employees,Yes,USD,22,26,21,In-person,MySQL,Ruby;C++,Other online resources;Colleague;Books / Physical media,85275.48
Master's,55+ years old,Senior Developer,500-999 employees,Yes,INR,30,34,30,Hybrid,MySQL;Oracle;PostgreSQL,Go;Ruby;Python,Colleague,112966.78
Bachelor's,18-24 years old,Mid-level Developer,"10,000+ employees",No,USD,35,35,31,Hybrid,PostgreSQL,Python;C#;Ruby;Java,Books / Physical media;Other online resources,119098.12
High School,35-44 years old,Student,500-999 employees,Yes,EUR,50,50,50,In-person,Oracle;PostgreSQL;SQLite,Java;C++,Online Courses or Certification,154298.68
High School,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,GBP,45,47,40,Hybrid,SQLite;MySQL;Oracle,C++,Other online resources;Colleague;Books / Physical media,171253.01
Master's,45-54 years old,Mid-level Developer,100-499 employees,Yes,INR,15,15,11,Hybrid,MySQL;PostgreSQL,Go;Ruby,Online Courses or Certification;Books / Physical media;Other online resources,67913.04
PhD,45-54 years old,Junior Developer,100-499 employees,No,USD,18,20,18,In-person,MySQL;SQLite,Kotlin;Swift,Colleague;Other online resources,81905.8
PhD,45-54 years old,Tech Lead,"1,000 to 4,999 employees",No,INR,46,50,44,Hybrid,Oracle;MongoDB,C++;Java;Kotlin,Other online resources;Online Courses or Certification,171149.47
PhD,55+ years old,Junior Developer,"10,000+ employees",Yes,INR,7,11,2,In-person,PostgreSQL;MySQL,Ruby;Go;JavaScript;Python,Online Courses or Certification;Books / Physical media,65036.94
PhD,55+ years old,Mid-level Developer,100-499 employees,Yes,GBP,8,8,8,Hybrid,MySQL;PostgreSQL;Oracle,Ruby;Go;Python,Other online resources,58701.91
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,INR,7,7,6,In-person,PostgreSQL,Go,Other online resources;Books / Physical media,72963.38
Master's,55+ years old,Senior Developer,"10,000+ employees",Yes,USD,19,21,16,Hybrid,SQLite;PostgreSQL;MySQL,Ruby;JavaScript;C++;Go,Books / Physical media,95114.98
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,INR,8,13,5,Hybrid,Oracle,Kotlin;C++;Python,Online Courses or Certification;Books / Physical media,62774.55
Bachelor's,45-54 years old,Mid-level Developer,1-9 employees,Yes,EUR,19,21,19,Remote,SQLite;MongoDB;PostgreSQL,Python;Swift;C++;C#,Colleague;Books / Physical media;Other online resources,76358.71
High School,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,13,17,11,Hybrid,Oracle;MySQL;SQLite,Python,Other online resources;Books / Physical media,57315.44
Master's,55+ years old,Mid-level Developer,500-999 employees,Yes,USD,7,12,5,In-person,PostgreSQL,Kotlin;JavaScript,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,50054.43
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,INR,2,3,1,Hybrid,PostgreSQL;MongoDB,C#;Java;Ruby;Swift,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,43238.65
High School,55+ years old,Mid-level Developer,10-99 employees,No,USD,32,32,31,Remote,MongoDB,C++;Ruby;Python,Other online resources,100971.36
Master's,18-24 years old,Senior Developer,500-999 employees,No,INR,8,13,8,Hybrid,Oracle,C++;Go,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,48976.85
Bachelor's,55+ years old,Junior Developer,10-99 employees,Yes,INR,1,5,1,In-person,MongoDB;SQLite,Swift;Go,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,27950.06
High School,18-24 years old,Junior Developer,500-999 employees,Yes,EUR,49,49,44,Remote,SQLite;Oracle,Kotlin,Online Courses or Certification;Books / Physical media;Colleague,147919.78
PhD,18-24 years old,Junior Developer,"10,000+ employees",Yes,USD,46,50,42,Hybrid,MySQL,JavaScript;Swift;Java,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,166565.98
PhD,35-44 years old,Junior Developer,"1,000 to 4,999 employees",Yes,INR,29,29,28,Hybrid,Oracle;PostgreSQL,Go,Other online resources;Books / Physical media;Colleague,112615.38
Bachelor's,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,47,47,43,In-person,MongoDB,Go,Colleague,153478.89
Bachelor's,18-24 years old,Student,"10,000+ employees",No,INR,41,41,40,Hybrid,Oracle;MongoDB;MySQL,Go;Ruby,Colleague;Other online resources,134771.65
PhD,25-34 years old,Senior Developer,500-999 employees,Yes,INR,44,46,41,Hybrid,MongoDB,C++,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,148616.08
Bachelor's,25-34 years old,Student,10-99 employees,No,INR,32,37,31,Hybrid,MongoDB,Go,Other online resources,96507.17
Master's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",Yes,EUR,21,22,18,In-person,MySQL;SQLite;Oracle,Ruby;Kotlin;C++;Swift,Colleague;Other online resources,117688.55
High School,25-34 years old,Junior Developer,10-99 employees,No,EUR,25,25,20,Remote,SQLite;MySQL;Oracle,C#;Java;Kotlin,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,80071.23
High School,25-34 years old,Mid-level Developer,10-99 employees,No,GBP,13,16,12,Remote,MongoDB;Oracle;SQLite,Ruby;Java;C++;Kotlin,Books / Physical media;Other online resources;Online Courses or Certification,50218.82
PhD,45-54 years old,Junior Developer,1-9 employees,No,USD,45,46,40,Remote,MongoDB,Ruby;C#;Java;Go,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,150989.34
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,USD,49,50,46,Hybrid,MongoDB;SQLite;PostgreSQL,C++,Other online resources;Colleague,165312.25
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,USD,21,26,20,Hybrid,SQLite;MySQL;Oracle,JavaScript;C#;Go;Ruby,Colleague;Online Courses or Certification,97290.11
PhD,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,39,41,35,Hybrid,Oracle,Python;Swift;Java,Books / Physical media;Online Courses or Certification;Other online resources;Colleague,133110.09
PhD,25-34 years old,Mid-level Developer,100-499 employees,No,GBP,27,28,23,In-person,SQLite;PostgreSQL;MySQL,Kotlin,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,102367.54
PhD,18-24 years old,Senior Developer,"1,000 to 4,999 employees",No,GBP,49,50,44,Hybrid,PostgreSQL,C++;Ruby;JavaScript,Colleague;Online Courses or Certification,154017.38
Master's,25-34 years old,Tech Lead,"5,000 to 9,999 employees",No,USD,31,34,29,In-person,MySQL;Oracle,C#;JavaScript,Books / Physical media;Colleague;Online Courses or Certification,140229.19
Master's,25-34 years old,Student,"5,000 to 9,999 employees",Yes,EUR,49,50,45,In-person,SQLite;PostgreSQL,JavaScript,Books / Physical media,165946.63
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,USD,26,27,24,In-person,PostgreSQL;SQLite,JavaScript;Python;C#,Books / Physical media;Colleague;Online Courses or Certification,87972.99
High School,18-24 years old,Junior Developer,1-9 employees,No,EUR,39,41,37,In-person,Oracle;PostgreSQL;MongoDB,Swift;Ruby;Kotlin,Books / Physical media;Online Courses or Certification,120774.99
PhD,25-34 years old,Senior Developer,"1,000 to 4,999 employees",No,USD,9,13,6,Hybrid,Oracle;SQLite;MongoDB,C#,Other online resources;Colleague;Online Courses or Certification,59481.33
High School,18-24 years old,Student,100-499 employees,Yes,USD,30,35,26,Hybrid,SQLite;MySQL;Oracle,Python,Books / Physical media;Online Courses or Certification;Colleague,103229.91
Bachelor's,35-44 years old,Student,100-499 employees,No,EUR,8,10,5,Remote,SQLite;Oracle;MySQL,Swift;Python;JavaScript,Online Courses or Certification;Other online resources,43885.33
Master's,25-34 years old,Senior Developer,"10,000+ employees",Yes,INR,15,17,10,In-person,SQLite,C++;Kotlin;Swift,Books / Physical media,82930.73
Bachelor's,55+ years old,Tech Lead,500-999 employees,No,USD,39,42,39,In-person,Oracle;PostgreSQL,Kotlin;C++;Swift;Python,Other online resources,136981.68
High School,45-54 years old,Senior Developer,10-99 employees,Yes,GBP,32,34,28,Remote,Oracle,Python;C#,Online Courses or Certification,104937.8
High School,18-24 years old,Tech Lead,"10,000+ employees",No,GBP,35,35,35,In-person,SQLite,Java;Swift;Go;C#,Books / Physical media;Colleague;Online Courses or Certification,133543.52
Master's,18-24 years old,Student,"1,000 to 4,999 employees",Yes,INR,21,25,17,Hybrid,MySQL,Java,Other online resources;Colleague,91964.63
Master's,25-34 years old,Junior Developer,500-999 employees,Yes,EUR,12,17,12,Hybrid,MongoDB;PostgreSQL;Oracle,Swift;C++;C#,Other online resources;Books / Physical media;Colleague,64768.88
PhD,25-34 years old,Senior Developer,1-9 employees,Yes,GBP,32,33,32,Remote,MongoDB;MySQL,Go;Kotlin,Books / Physical media;Other online resources,115000.11
High School,55+ years old,Senior Developer,500-999 employees,No,USD,48,50,47,Hybrid,Oracle,Go,Online Courses or Certification,135288.43
High School,45-54 years old,Junior Developer,1-9 employees,Yes,GBP,44,48,44,In-person,MongoDB;Oracle;SQLite,Go;C#,Other online resources,136576.93
Bachelor's,18-24 years old,Tech Lead,"10,000+ employees",Yes,EUR,25,26,22,Hybrid,MySQL;PostgreSQL,C++,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,116033.74
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,EUR,37,42,36,Hybrid,SQLite;Oracle;MongoDB,Java,Books / Physical media,152374.16
Master's,25-34 years old,Student,"10,000+ employees",No,INR,44,47,44,Hybrid,Oracle;MySQL;MongoDB,C#;Ruby;Java,Books / Physical media;Online Courses or Certification,149310.73
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,USD,0,3,0,Hybrid,SQLite;MySQL,Ruby,Books / Physical media,58826.75
PhD,45-54 years old,Junior Developer,"10,000+ employees",No,INR,40,41,40,In-person,MySQL;PostgreSQL,C#;Ruby;Java,Other online resources,140228.9
PhD,45-54 years old,Mid-level Developer,1-9 employees,Yes,GBP,23,24,23,In-person,Oracle;MySQL,C++;C#;JavaScript,Books / Physical media;Colleague,97880.46
Bachelor's,55+ years old,Senior Developer,500-999 employees,No,GBP,23,27,20,In-person,SQLite,Go;Ruby;C++,Online Courses or Certification;Books / Physical media,75182.98
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,EUR,3,6,0,Remote,Oracle,Swift,Colleague,44288.85
Bachelor's,25-34 years old,Student,"1,000 to 4,999 employees",Yes,USD,19,24,16,Remote,MySQL;PostgreSQL;SQLite,Ruby;JavaScript,Colleague;Other online resources;Online Courses or Certification,69494.04
PhD,45-54 years old,Junior Developer,"1,000 to 4,999 employees",Yes,EUR,14,15,12,Remote,MySQL,Swift;Ruby;Kotlin;Python,Colleague;Other online resources,76319.39
Bachelor's,18-24 years old,Senior Developer,100-499 employees,Yes,USD,12,16,11,Remote,PostgreSQL;SQLite;MongoDB,Python;Swift;C++,Colleague;Other online resources;Online Courses or Certification,55550.77
High School,18-24 years old,Senior Developer,500-999 employees,Yes,USD,12,13,7,In-person,Oracle;MongoDB,Python;Ruby;Swift,Other online resources;Books / Physical media,59503.96
Master's,18-24 years old,Student,10-99 employees,No,EUR,39,39,39,Hybrid,MongoDB,Java;Ruby,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,128074.37
PhD,45-54 years old,Senior Developer,500-999 employees,Yes,USD,39,43,37,In-person,Oracle;MongoDB,Java;Python;C++,Books / Physical media,134026.94
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,EUR,25,30,23,In-person,MySQL;SQLite,JavaScript,Colleague,105800.02
PhD,25-34 years old,Mid-level Developer,"10,000+ employees",Yes,EUR,23,27,21,Hybrid,SQLite;PostgreSQL;MongoDB,C#;Swift;C++;Kotlin,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,108049.51
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,GBP,45,50,40,Remote,Oracle;MySQL;SQLite,Kotlin;C#;Swift,Books / Physical media;Other online resources;Colleague,172276.65
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,16,20,11,Remote,MySQL;MongoDB;Oracle,JavaScript,Colleague;Books / Physical media,85525.02
PhD,45-54 years old,Tech Lead,"1,000 to 4,999 employees",Yes,GBP,50,50,46,Hybrid,Oracle;PostgreSQL,Swift;Python,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,181656.58
Master's,55+ years old,Student,1-9 employees,No,GBP,29,29,28,Hybrid,MySQL;SQLite,Swift;JavaScript;C#,Colleague,101542.55
Master's,25-34 years old,Senior Developer,10-99 employees,Yes,USD,27,32,24,Hybrid,SQLite;MongoDB,Swift;C++;Python;JavaScript,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,106527.79
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,INR,21,25,18,Remote,MongoDB,Go;Java;JavaScript,Books / Physical media;Other online resources,104989.71
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,37,41,37,Hybrid,Oracle;MySQL;MongoDB,Ruby;Kotlin;C++;Swift,Colleague;Other online resources,147823.14
Bachelor's,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,49,50,44,Remote,MongoDB;PostgreSQL,Swift,Colleague;Books / Physical media;Other online resources,142681.88
Master's,35-44 years old,Senior Developer,500-999 employees,Yes,USD,41,44,38,Hybrid,PostgreSQL;Oracle;MongoDB,C++,Other online resources,136234.88
PhD,18-24 years old,Senior Developer,100-499 employees,No,EUR,11,15,8,Hybrid,MySQL;SQLite;Oracle,Kotlin;Swift;Ruby,Other online resources;Books / Physical media;Online Courses or Certification,60134.92
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,USD,38,41,34,Hybrid,Oracle;MySQL;PostgreSQL,Kotlin;Java,Other online resources,146830.5
Bachelor's,55+ years old,Junior Developer,1-9 employees,No,INR,29,30,29,In-person,MySQL;MongoDB,Go,Online Courses or Certification,94969.19
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,USD,9,12,5,In-person,MySQL;SQLite;MongoDB,JavaScript,Colleague;Books / Physical media,86497.06
High School,55+ years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,0,2,0,Hybrid,PostgreSQL,Ruby;JavaScript;Python;Java,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,31696.29
Master's,45-54 years old,Tech Lead,100-499 employees,No,EUR,32,34,30,In-person,SQLite,Swift;C++;Ruby;Java,Other online resources,128875.31
Master's,45-54 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,49,49,46,Remote,PostgreSQL;Oracle;MongoDB,JavaScript,Colleague;Online Courses or Certification;Books / Physical media,179395.3
Master's,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,INR,35,38,34,Remote,MongoDB;Oracle,Kotlin;JavaScript,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,135679.84
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,INR,15,20,14,Remote,PostgreSQL;Oracle,Swift;JavaScript,Online Courses or Certification;Books / Physical media;Other online resources,80171.73
Bachelor's,18-24 years old,Student,100-499 employees,Yes,USD,38,40,35,Hybrid,Oracle;MySQL,JavaScript;Python;Swift;C#,Other online resources;Books / Physical media;Colleague,121885.55
High School,55+ years old,Junior Developer,"5,000 to 9,999 employees",No,EUR,40,41,40,Remote,MongoDB,Python;JavaScript;Swift,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,134086.39
High School,55+ years old,Student,"1,000 to 4,999 employees",No,INR,7,7,7,Hybrid,MySQL;MongoDB;SQLite,Java,Online Courses or Certification;Colleague;Books / Physical media,38468.74
Master's,18-24 years old,Student,"1,000 to 4,999 employees",No,INR,1,6,0,In-person,MySQL;SQLite,Go;C++;Python;Kotlin,Other online resources,28674.89
High School,55+ years old,Senior Developer,1-9 employees,Yes,INR,43,45,38,In-person,SQLite;MySQL,Ruby;Python;Java,Books / Physical media;Colleague;Online Courses or Certification,130386.2
Master's,25-34 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,32,32,27,Remote,MySQL;PostgreSQL;SQLite,JavaScript,Other online resources;Colleague;Books / Physical media,138304.56
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,EUR,28,31,26,Remote,SQLite;Oracle;MongoDB,Python;Kotlin;C#;JavaScript,Other online resources;Online Courses or Certification,126223.71
High School,25-34 years old,Student,1-9 employees,No,EUR,16,20,11,Hybrid,MongoDB;PostgreSQL;SQLite,JavaScript;C#;Kotlin,Colleague;Online Courses or Certification,57168.2
Bachelor's,25-34 years old,Mid-level Developer,10-99 employees,Yes,GBP,40,44,36,Hybrid,MySQL;SQLite,Python;Java;Go,Other online resources;Online Courses or Certification;Books / Physical media,121376.65
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,GBP,11,12,7,Remote,Oracle,Swift;JavaScript;Go,Colleague;Online Courses or Certification;Books / Physical media,85141.94
Master's,18-24 years old,Tech Lead,"5,000 to 9,999 employees",No,INR,38,41,34,In-person,Oracle;MongoDB;MySQL,JavaScript;Kotlin,Books / Physical media,153270.24
High School,55+ years old,Tech Lead,1-9 employees,No,GBP,7,7,6,Hybrid,MongoDB,Swift,Online Courses or Certification;Books / Physical media,56220.45
Bachelor's,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",No,GBP,38,42,38,Remote,MongoDB,JavaScript;C#,Books / Physical media;Online Courses or Certification;Other online resources;Colleague,112301.15
Bachelor's,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,2,6,0,Remote,SQLite;MySQL,C#;Swift;C++,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,24463.01
High School,55+ years old,Senior Developer,1-9 employees,Yes,GBP,38,39,35,Hybrid,MySQL;SQLite;MongoDB,Swift;JavaScript;Python,Colleague,123901.09
PhD,35-44 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,50,50,50,In-person,PostgreSQL,Ruby,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,192000.08
Bachelor's,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",No,GBP,31,34,29,Hybrid,PostgreSQL;SQLite,Swift;Kotlin;C#,Books / Physical media;Online Courses or Certification;Other online resources;Colleague,111714.11
High School,18-24 years old,Junior Developer,1-9 employees,Yes,GBP,44,49,39,Remote,Oracle;MongoDB;MySQL,C#;Python;Swift;Java,Books / Physical media,137911.56
PhD,25-34 years old,Senior Developer,"10,000+ employees",No,USD,11,11,10,Remote,PostgreSQL;Oracle;SQLite,C#;Ruby,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,72170.67
High School,25-34 years old,Tech Lead,"10,000+ employees",Yes,USD,6,8,1,Hybrid,PostgreSQL;MySQL,Python;Kotlin;JavaScript;Go,Books / Physical media,72994.59
Master's,25-34 years old,Tech Lead,100-499 employees,No,USD,12,17,7,Hybrid,Oracle;MySQL,Go;Kotlin,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,83289.63
Master's,35-44 years old,Senior Developer,100-499 employees,No,USD,1,5,0,Hybrid,MySQL;Oracle,Kotlin;C++;Go,Colleague;Online Courses or Certification,32125.04
Bachelor's,18-24 years old,Student,10-99 employees,Yes,EUR,43,44,40,Hybrid,SQLite,Python;Java;JavaScript;Kotlin,Other online resources;Colleague;Books / Physical media,134989.76
Master's,55+ years old,Student,"1,000 to 4,999 employees",Yes,GBP,6,7,2,In-person,MongoDB,Java;Python;C++,Online Courses or Certification,46496.89
Bachelor's,25-34 years old,Junior Developer,"1,000 to 4,999 employees",No,USD,18,21,17,In-person,PostgreSQL;Oracle,Java;Python;Kotlin;Ruby,Books / Physical media;Other online resources;Colleague,61121.59
Master's,45-54 years old,Student,100-499 employees,Yes,EUR,8,8,3,Remote,SQLite;PostgreSQL;MongoDB,Ruby;Go;Java,Books / Physical media;Online Courses or Certification,52946.14
High School,18-24 years old,Senior Developer,"1,000 to 4,999 employees",Yes,INR,21,25,20,Remote,PostgreSQL;Oracle;MySQL,Swift;C#,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,81963.23
High School,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,INR,9,14,9,Remote,SQLite;MySQL,JavaScript;Swift,Colleague,38348.23
Bachelor's,18-24 years old,Junior Developer,"10,000+ employees",Yes,GBP,24,26,19,Hybrid,MySQL;MongoDB,Ruby;Go,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,90059.57
PhD,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,35,39,32,Hybrid,SQLite;MySQL,Java,Books / Physical media;Colleague;Other online resources,119262.04
Bachelor's,45-54 years old,Mid-level Developer,100-499 employees,Yes,USD,10,10,6,In-person,Oracle;SQLite;MySQL,Ruby;C#;Kotlin,Online Courses or Certification;Colleague;Books / Physical media,47343.31
Master's,35-44 years old,Tech Lead,500-999 employees,Yes,EUR,18,23,14,Hybrid,Oracle;SQLite,C++;C#;Python,Colleague;Online Courses or Certification;Other online resources,95381.33
Master's,55+ years old,Tech Lead,"5,000 to 9,999 employees",Yes,GBP,14,18,12,Remote,SQLite;MySQL;Oracle,C++,Other online resources;Books / Physical media;Online Courses or Certification,95846.08
PhD,55+ years old,Student,"1,000 to 4,999 employees",No,USD,44,46,41,Hybrid,SQLite;PostgreSQL,JavaScript;Java;Python;Kotlin,Online Courses or Certification,142760.19
PhD,55+ years old,Junior Developer,100-499 employees,No,USD,13,17,9,Hybrid,PostgreSQL,Java,Other online resources;Online Courses or Certification;Colleague,68824.25
Master's,18-24 years old,Student,10-99 employees,Yes,INR,45,46,44,In-person,MongoDB;Oracle,Ruby;Java;Python,Books / Physical media;Colleague,142639.11
